id,created_at,text,lang,coordinates_type,coordinates_lat,coordinates_lon,place_id,place_name,place_country_code,retweet_count,favorite_count,_search_string,_search_loc_lat,_search_loc_lon,_search_loc_range,label,sentiment_classifier_score
Sat Feb 23 16:42:50 +0000 2019,2557391293,"A meet with Carl Craig - - - See your show 1 March 19� at @sala_apolo #DetroitLovesBarcelona en Barcelona, Spain https://t.co/rr4Ri4kqCe",en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,Meet,41.3851,2.1734,1,NEG,0.04
Tue Feb 19 17:43:46 +0000 2019,136130867,"'This conversation can serve no purpose any more.'  -  - Nice to meet you, Hal. @ CCCB https://t.co/5FvSEu5kXN",en,Point,41.38369004,2.16650377,1a27537478dd8e38,None,ES,1,2,Meet,41.3851,2.1734,1,NEG,0.018
Tue Feb 19 05:20:49 +0000 2019,1711931550,"hey, meet me at opium? @madalynj26 @ Barcelona, Spain https://t.co/fQo7eWVjth",en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,Meet,41.3851,2.1734,1,NEG,0.098
Thu Feb 14 18:13:47 +0000 2019,78965712,Great to meet with Robin playing my new track #theweekend and talking gigs and future colabs @twelvetreestudios� https://t.co/p0Bk6KZJMX,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,Meet,41.3851,2.1734,1,NEG,0.212
Sat Feb 23 16:42:50 +0000 2019,2557391293,"A meet with Carl Craig - - - See your show 1 March 19� at @sala_apolo #DetroitLovesBarcelona en Barcelona, Spain https://t.co/rr4Ri4kqCe",en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,meet,41.3851,2.1734,1,NEG,0.04
Tue Feb 19 17:43:46 +0000 2019,136130867,"'This conversation can serve no purpose any more.'  -  - Nice to meet you, Hal. @ CCCB https://t.co/5FvSEu5kXN",en,Point,41.38369004,2.16650377,1a27537478dd8e38,None,ES,1,2,meet,41.3851,2.1734,1,NEG,0.018
Tue Feb 19 05:20:49 +0000 2019,1711931550,"hey, meet me at opium? @madalynj26 @ Barcelona, Spain https://t.co/fQo7eWVjth",en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,1,meet,41.3851,2.1734,1,NEG,0.098
Thu Feb 14 18:13:47 +0000 2019,78965712,Great to meet with Robin playing my new track #theweekend and talking gigs and future colabs @twelvetreestudios� https://t.co/p0Bk6KZJMX,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,meet,41.3851,2.1734,1,NEG,0.212
Sat Feb 23 16:42:50 +0000 2019,2557391293,"A meet with Carl Craig - - - See your show 1 March 19� at @sala_apolo #DetroitLovesBarcelona en Barcelona, Spain https://t.co/rr4Ri4kqCe",en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,Meet,41.385557,2.163845,1,NEG,0.04
Tue Feb 19 17:43:46 +0000 2019,136130867,"'This conversation can serve no purpose any more.'  -  - Nice to meet you, Hal. @ CCCB https://t.co/5FvSEu5kXN",en,Point,41.38369004,2.16650377,1a27537478dd8e38,None,ES,1,2,Meet,41.385557,2.163845,1,NEG,0.018
Tue Feb 19 05:20:49 +0000 2019,1711931550,"hey, meet me at opium? @madalynj26 @ Barcelona, Spain https://t.co/fQo7eWVjth",en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,Meet,41.385557,2.163845,1,NEG,0.098
Thu Feb 14 18:13:47 +0000 2019,78965712,Great to meet with Robin playing my new track #theweekend and talking gigs and future colabs @twelvetreestudios� https://t.co/p0Bk6KZJMX,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,Meet,41.385557,2.163845,1,NEG,0.212
Sat Feb 23 16:42:50 +0000 2019,2557391293,"A meet with Carl Craig - - - See your show 1 March 19� at @sala_apolo #DetroitLovesBarcelona en Barcelona, Spain https://t.co/rr4Ri4kqCe",en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,meet,41.385557,2.163845,1,NEG,0.04
Tue Feb 19 17:43:46 +0000 2019,136130867,"'This conversation can serve no purpose any more.'  -  - Nice to meet you, Hal. @ CCCB https://t.co/5FvSEu5kXN",en,Point,41.38369004,2.16650377,1a27537478dd8e38,None,ES,1,2,meet,41.385557,2.163845,1,NEG,0.018
Tue Feb 19 05:20:49 +0000 2019,1711931550,"hey, meet me at opium? @madalynj26 @ Barcelona, Spain https://t.co/fQo7eWVjth",en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,meet,41.385557,2.163845,1,NEG,0.098
Thu Feb 14 18:13:47 +0000 2019,78965712,Great to meet with Robin playing my new track #theweekend and talking gigs and future colabs @twelvetreestudios� https://t.co/p0Bk6KZJMX,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,meet,41.385557,2.163845,1,NEG,0.212
Thu Feb 21 01:30:54 +0000 2019,371475716,"@ausindefest @TorLiftOff @FilmFreeway @aiff We didn't arrive to your continent at the end, ohh, but maybe we reach� https://t.co/PUo5Vt12y8",en,None,None,None,37ded68f419372ee,None,ES,0,1,Meet,41.309457,2.092745,1,NEG,0.001
Sat Feb 16 09:31:57 +0000 2019,86607170,"hello el Pratt, we meet again",en,None,None,None,37ded68f419372ee,None,ES,0,0,Meet,41.309457,2.092745,1,NEG,0.323
Thu Feb 21 01:30:54 +0000 2019,371475716,"@ausindefest @TorLiftOff @FilmFreeway @aiff We didn't arrive to your continent at the end, ohh, but maybe we reach� https://t.co/PUo5Vt12y8",en,None,None,None,37ded68f419372ee,None,ES,0,1,meet,41.309457,2.092745,1,NEG,0.001
Sat Feb 16 09:31:57 +0000 2019,86607170,"hello el Pratt, we meet again",en,None,None,None,37ded68f419372ee,None,ES,0,0,meet,41.309457,2.092745,1,NEG,0.323
Sat Feb 23 16:42:50 +0000 2019,2557391293,"A meet with Carl Craig - - - See your show 1 March 19� at @sala_apolo #DetroitLovesBarcelona en Barcelona, Spain https://t.co/rr4Ri4kqCe",en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,Meet,41.3851,2.1734,1,NEG,0.04
Tue Feb 19 17:43:46 +0000 2019,136130867,"'This conversation can serve no purpose any more.'  -  - Nice to meet you, Hal. @ CCCB https://t.co/5FvSEu5kXN",en,Point,41.38369004,2.16650377,1a27537478dd8e38,None,ES,1,2,Meet,41.3851,2.1734,1,NEG,0.018
Tue Feb 19 05:20:49 +0000 2019,1711931550,"hey, meet me at opium? @madalynj26 @ Barcelona, Spain https://t.co/fQo7eWVjth",en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,1,Meet,41.3851,2.1734,1,NEG,0.098
Thu Feb 14 18:13:47 +0000 2019,78965712,Great to meet with Robin playing my new track #theweekend and talking gigs and future colabs @twelvetreestudios� https://t.co/p0Bk6KZJMX,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,Meet,41.3851,2.1734,1,NEG,0.212
Sat Feb 23 16:42:50 +0000 2019,2557391293,"A meet with Carl Craig - - - See your show 1 March 19� at @sala_apolo #DetroitLovesBarcelona en Barcelona, Spain https://t.co/rr4Ri4kqCe",en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,meet,41.3851,2.1734,1,NEG,0.04
Tue Feb 19 17:43:46 +0000 2019,136130867,"'This conversation can serve no purpose any more.'  -  - Nice to meet you, Hal. @ CCCB https://t.co/5FvSEu5kXN",en,Point,41.38369004,2.16650377,1a27537478dd8e38,None,ES,1,2,meet,41.3851,2.1734,1,NEG,0.018
Tue Feb 19 05:20:49 +0000 2019,1711931550,"hey, meet me at opium? @madalynj26 @ Barcelona, Spain https://t.co/fQo7eWVjth",en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,1,meet,41.3851,2.1734,1,NEG,0.098
Thu Feb 14 18:13:47 +0000 2019,78965712,Great to meet with Robin playing my new track #theweekend and talking gigs and future colabs @twelvetreestudios� https://t.co/p0Bk6KZJMX,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,meet,41.3851,2.1734,1,NEG,0.212
Sat Feb 23 16:42:50 +0000 2019,2557391293,"A meet with Carl Craig - - - See your show 1 March 19� at @sala_apolo #DetroitLovesBarcelona en Barcelona, Spain https://t.co/rr4Ri4kqCe",en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,Meet,41.385557,2.163845,1,NEG,0.04
