id,created_at,text,lang,coordinates_type,coordinates_lat,coordinates_lon,place_id,place_name,place_country_code,retweet_count,favorite_count,_search_string,_search_loc_lat,_search_loc_lon,_search_loc_range,label
1099352781704417285,Sat Feb 23 16:58:22 +0000 2019,893434735,"Team Huawei #Barcelona #MWC @ Barcelona, Spain https://t.co/b29hZvWYZB",pl,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,MWC,41.3851,2.1734,1,None
1098574717802340353,Thu Feb 21 13:26:37 +0000 2019,1143291,"Picked up the MWC 2019 badge, next few days will be work and fun #mwc2019 #spain #travel #work #mwc @ Barcelona, Sp� https://t.co/3JTXV5TVUe",en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,1,17,MWC,41.3851,2.1734,1,None
1098509198936047616,Thu Feb 21 09:06:16 +0000 2019,75189414,MWC Barcelone avec https://t.co/4FE6QC0xWp on arrive #miexplorer. Pour nous suivre https://t.co/7gsO5ccPkw � Barcel� https://t.co/XcATjpGp3p,fr,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,MWC,41.3851,2.1734,1,None
1096856195933949952,Sat Feb 16 19:37:50 +0000 2019,971304611511504897,Construyendo peque�os robots y aprendiendo... con smartions_stream -  - Los ni�os super orgullosos de sus creaciones! - G� https://t.co/yqsk10wzq1,es,Point,41.38152,2.17899,1a27537478dd8e38,None,ES,1,6,MWC,41.3851,2.1734,1,None
1099352781704417285,Sat Feb 23 16:58:22 +0000 2019,893434735,"Team Huawei #Barcelona #MWC @ Barcelona, Spain https://t.co/b29hZvWYZB",pl,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,mwc,41.3851,2.1734,1,None
1098574717802340353,Thu Feb 21 13:26:37 +0000 2019,1143291,"Picked up the MWC 2019 badge, next few days will be work and fun #mwc2019 #spain #travel #work #mwc @ Barcelona, Sp� https://t.co/3JTXV5TVUe",en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,1,17,mwc,41.3851,2.1734,1,None
